,Year,Zipcode,Burglary,Change_Burglary,Theft,Change_Theft,Auto_Theft,Change_Auto
21,2013.0,78702.0,416.0,,1460.0,,105.0,
16,2014.0,78702.0,372.0,-10.576923076923073,1554.0,6.438356164383552,101.0,-3.809523809523807
11,2015.0,78702.0,208.0,-44.08602150537635,1228.0,-20.978120978120973,103.0,1.980198019801982
6,2016.0,78702.0,221.0,6.25,1047.0,-14.739413680781755,115.0,11.650485436893199
1,2017.0,78702.0,211.0,-4.524886877828049,1053.0,0.5730659025787954,143.0,24.347826086956516
22,2013.0,78704.0,405.0,91.9431279620853,2371.0,125.16619183285852,137.0,-4.1958041958041985
17,2014.0,78704.0,319.0,-21.23456790123457,2116.0,-10.754955714888236,163.0,18.97810218978102
12,2015.0,78704.0,294.0,-7.836990595611281,1984.0,-6.238185255198491,175.0,7.361963190184051
7,2016.0,78704.0,305.0,3.741496598639449,1914.0,-3.5282258064516125,204.0,16.57142857142857
2,2017.0,78704.0,296.0,-2.950819672131144,1861.0,-2.769070010449326,177.0,-13.235294117647056
23,2013.0,78731.0,106.0,-64.1891891891892,565.0,-69.63997850617946,19.0,-89.26553672316385
18,2014.0,78731.0,83.0,-21.698113207547166,418.0,-26.017699115044245,20.0,5.263157894736836
13,2015.0,78731.0,58.0,-30.12048192771084,477.0,14.114832535885169,21.0,5.000000000000004
8,2016.0,78731.0,70.0,20.68965517241379,407.0,-14.675052410901468,22.0,4.761904761904767
3,2017.0,78731.0,75.0,7.14285714285714,350.0,-14.004914004914005,15.0,-31.818181818181824
24,2013.0,78746.0,43.0,-42.666666666666664,1033.0,195.14285714285714,27.0,80.0
19,2014.0,78746.0,36.0,-16.279069767441857,728.0,-29.525653436592446,24.0,-11.111111111111116
14,2015.0,78746.0,55.0,52.77777777777777,714.0,-1.9230769230769273,35.0,45.83333333333333
9,2016.0,78746.0,53.0,-3.6363636363636376,725.0,1.540616246498594,41.0,17.14285714285715
4,2017.0,78746.0,50.0,-5.660377358490565,688.0,-5.103448275862066,47.0,14.634146341463406
25,2013.0,78751.0,141.0,181.99999999999997,986.0,43.31395348837211,55.0,17.021276595744684
20,2014.0,78751.0,101.0,-28.36879432624113,741.0,-24.847870182555777,61.0,10.909090909090914
15,2015.0,78751.0,95.0,-5.940594059405946,738.0,-0.4048582995951455,59.0,-3.2786885245901676
10,2016.0,78751.0,104.0,9.473684210526322,703.0,-4.742547425474253,59.0,0.0
5,2017.0,78751.0,88.0,-15.384615384615385,621.0,-11.664295874822194,52.0,-11.864406779661019
