,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
0,78702,22617.0,33.5,48174.0,27624.0,5481.0,24.233983286908078,2016
1,78704,46474.0,32.2,62283.0,43496.0,7332.0,15.776563239660886,2016
2,78731,27401.0,38.3,83438.0,60889.0,2438.0,8.897485493230175,2016
3,78746,27971.0,41.7,132551.0,82173.0,1247.0,4.4581888384398125,2016
4,78751,14648.0,29.4,51567.0,39807.0,3097.0,21.142818132168212,2016
6,78702,21477.0,34.2,41016.0,24664.0,5730.0,26.679703869255484,2015
7,78704,44668.0,32.0,58601.0,41560.0,7539.0,16.877854392406196,2015
8,78731,26595.0,39.0,82892.0,59754.0,2446.0,9.197217522090618,2015
9,78746,27928.0,41.5,128184.0,80898.0,1490.0,5.335147522199943,2015
10,78751,14441.0,29.0,45726.0,37171.0,3433.0,23.772591925766914,2015
12,78702,21855.0,33.1,37690.0,21922.0,6510.0,29.78723404255319,2014
13,78704,42770.0,32.0,52306.0,38699.0,7815.0,18.27215337853636,2014
14,78731,26412.0,39.5,79315.0,57570.0,2405.0,9.105709525973042,2014
15,78746,27960.0,40.9,128556.0,78195.0,1518.0,5.429184549356223,2014
16,78751,13838.0,29.1,41279.0,36020.0,3391.0,24.504986269692154,2014
17,78702,21655.0,32.3,36197.0,19715.0,6592.0,30.441006695913185,2013
18,78704,41999.0,31.6,50930.0,37301.0,8160.0,19.429034024619632,2013
19,78731,25575.0,39.4,75269.0,56169.0,2530.0,9.89247311827957,2013
20,78746,27506.0,41.7,128936.0,76782.0,1506.0,5.475169054024576,2013
21,78751,14045.0,29.3,39032.0,33636.0,3481.0,24.784620861516554,2013
